prenom,genre,nb
Marie-Joëlle,F,40
Katy,F,40
Rosa,F,40
Rosine,F,39
Marie-Bernadette,F,39
Nora,F,39
Marie Thérèse,F,39
Elizabeth,F,39
Graziella,F,38
Eva,F,38
Violaine,F,38
Morgane,F,38
Rita,F,37
Nicolle,F,37
Marie Therese,F,37
Marie-Reine,F,37
Marie Paule,F,36
Roberte,F,36
Yannick,F,35
Cynthia,F,35
Fatiha,F,35
Emeline,F,34
Regine,F,34
Emilienne,F,34
Frederique,F,34
Agathe,F,34
Yolaine,F,34
Noelle,F,34
Marie Françoise,F,34
Suzette,F,33
Léone,F,33
Isabel,F,33
Agnés,F,33
Blanche,F,33
Josée,F,33
Lynda,F,33
Karima,F,33
Marie Laure,F,33
Célia,F,32
Samira,F,32
Aurelie,F,32
Cécilia,F,32
Jany,F,32
Marie-Joseph,F,32
Margaret,F,31
Gwenaëlle,F,31
Jackie,F,31
Adrienne,F,31
Sylvianne,F,31
Julia,F,30
Manuella,F,30
A.Marie,F,30
Flora,F,30
Stella,F,30
Anne-Catherine,F,30
Tania,F,30
Janick,F,29
Nadege,F,29
Farida,F,29
Johanna,F,29
Berthe,F,29
Aïcha,F,29
Josyane,F,29
Eugénie,F,29
Anne-Françoise,F,28
Anaïs,F,28
Guilaine,F,28
Suzy,F,28
Perrine,F,28
Marie-Josephe,F,27
Gladys,F,27
Zohra,F,27
Rachida,F,27
Cendrine,F,27
Angelique,F,27
Léa,F,27
Rozenn,F,27
Luce,F,27
Marie Ange,F,27
Alexandrine,F,26
Jenny,F,26
Dalila,F,26
Arielle,F,26
Samia,F,26
Floriane,F,26
Angeline,F,26
Guylène,F,25
Kathy,F,25
Marie-Yvonne,F,25
Djamila,F,25
Anne-Claire,F,25
Lina,F,25
Yasmine,F,25
Clémence,F,24
Tatiana,F,24
Geraldine,F,24
Clara,F,24
Noëlla,F,23
Leïla,F,23
Alexia,F,23
Gislaine,F,23
Paula,F,23
Muguette,F,23
Andree,F,23
Lisette,F,23
Sandy,F,23
Alberte,F,23
Magaly,F,23
Marie-Angèle,F,22
Josselyne,F,22
Christina,F,22
Joseline,F,22
Aurélia,F,22
Louisa,F,22
Noémie,F,22
Laétitia,F,22
Andréa,F,22
Raphaëlle,F,22
Déborah,F,22
Doriane,F,22
Mariannick,F,21
Justine,F,21
Marie José,F,21
Eléonore,F,21
Katherine,F,21
Paola,F,21
Rosette,F,21
Carol,F,21
Aimée,F,21
Alix,F,21
Marie-Gabrielle,F,21
Marie Helene,F,20
Emma,F,20
Roxane,F,20
Yasmina,F,20
Annie-Claude,F,20
Carinne,F,20
Axelle,F,20
Charlette,F,20
Marie-Aude,F,20
Elisa,F,20
Armande,F,20
Marie-Isabelle,F,20
Marie Jeanne,F,20
Valentine,F,19
Karin,F,19
Laurie,F,19
Maryannick,F,19
Angéline,F,19
Soizic,F,19
Johanne,F,19
Marjolaine,F,19
Josy,F,19
Marie-Helene,F,19
Rachelle,F,19
Marie Madeleine,F,19
Marie-Geneviève,F,19
Renee,F,19
Etiennette,F,19
Marie-Danielle,F,19
Inès,F,19
Marilyn,F,19
Bérengère,F,18
Irene,F,18
Josseline,F,18
Marie Dominique,F,18
Guillemette,F,18
Leila,F,18
Lyliane,F,18
Pascal,F,18
Anne-Cécile,F,18
Aliette,F,18
Anne-Christine,F,18
Béatrix,F,18
Lisiane,F,18
Latifa,F,18
Edmonde,F,18
Elyane,F,18
